pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3846671025560433,0.3052697909252556,0.2931513489904526,0.24507698989646112
mean,select_mode,topk,3,1,140,0.31877178015366986,0.3101321426651508,0.2651245844488303,0.1952702678590342
mean,select_mode,threshold,3,1,140,0.60285186523271,0.19021110928295426,0.2517305783616743,0.548315246421934
mean,top_k,topk,1,1,140,0.16644056225766737,0.32015336432988256,0.19127947598249193,0.09371857800503194
mean,top_k,topk,2,1,140,0.25696420244971857,0.32038942249227964,0.2405669935852385,0.14618664994638375
mean,top_k,topk,3,1,140,0.31877178015366986,0.3101321426651508,0.2651245844488303,0.1952702678590342
mean,top_k,topk,5,1,140,0.4170774104901467,0.3002122587531231,0.3009344274659518,0.27586558585220766
mean,context,peak,3,0,140,0.14523595329718786,0.3118115672347046,0.17580636975256708,0.09376983893396505
mean,context,peak,3,1,140,0.3846671025560433,0.3052697909252556,0.2931513489904526,0.24507698989646112
mean,context,peak,3,2,140,0.5110193321178562,0.29441553192121445,0.3231001920002155,0.33966382713997567
max,select_mode,peak,3,1,140,0.4234495723005199,0.3309879873214034,0.31940068361149176,0.2439845224816098
max,select_mode,topk,3,1,140,0.3411386964590058,0.34092285586837345,0.29239873538733485,0.19218939787395226
max,select_mode,threshold,3,1,140,0.7965563539215008,0.21498386770022515,0.2989396070072665,0.6920592567958993
max,top_k,topk,1,1,140,0.19043413404230278,0.3669515413488351,0.21943564022454182,0.09372653811502671
max,top_k,topk,2,1,140,0.2735940081440009,0.3479387895225771,0.26378589330442304,0.15044081580274157
max,top_k,topk,3,1,140,0.3411386964590058,0.34092285586837345,0.29239873538733485,0.19218939787395226
max,top_k,topk,5,1,140,0.4738111020720381,0.33543287102834063,0.3412894565480454,0.2791899620367341
max,context,peak,3,0,140,0.1741250262578012,0.3437354730609729,0.20054791158157695,0.09372519010278776
max,context,peak,3,1,140,0.4234495723005199,0.3309879873214034,0.31940068361149176,0.2439845224816098
max,context,peak,3,2,140,0.531753860606516,0.3153176056058375,0.3448544829461052,0.3392453199426022
