pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.38518121871657945,0.3248967688860042,0.30367988586722244,0.23731613825182132
mean,select_mode,topk,3,1,140,0.29976940576719,0.33057462454593833,0.2689120828540047,0.17553734443219668
mean,select_mode,threshold,3,1,140,0.9050666666554997,0.20812543802404987,0.30540849217266536,0.871049766403608
mean,top_k,topk,1,1,140,0.17877802045419453,0.3503926892477736,0.20253533510809066,0.09313500713054286
mean,top_k,topk,2,1,140,0.2374301556364751,0.33518844459095093,0.23799131994578632,0.13443739795391788
mean,top_k,topk,3,1,140,0.29976940576719,0.33057462454593833,0.2689120828540047,0.17553734443219668
mean,top_k,topk,5,1,140,0.4135312899806138,0.33233917294073567,0.3197116215626224,0.2538548978483842
mean,context,peak,3,0,140,0.15552045926262448,0.33260322958406474,0.18275413584382486,0.09370358816883882
mean,context,peak,3,1,140,0.38518121871657945,0.3248967688860042,0.30367988586722244,0.23731613825182132
mean,context,peak,3,2,140,0.5087156501015164,0.3111354541613184,0.3334197518712283,0.32595067612278483
max,select_mode,peak,3,1,140,0.386999459808613,0.32846816253851446,0.3066865408473087,0.23683305725260057
max,select_mode,topk,3,1,140,0.30457081411097064,0.352160792572635,0.2817120837765553,0.1717138814984468
max,select_mode,threshold,3,1,140,0.9460985471720658,0.2171636951809678,0.31787822517800124,0.9049650840669382
max,top_k,topk,1,1,140,0.16579526090529992,0.35156437902532317,0.19929062598933142,0.09312429383261574
max,top_k,topk,2,1,140,0.23420820797162328,0.35638446633428883,0.249328777086322,0.13532630285111846
max,top_k,topk,3,1,140,0.30457081411097064,0.352160792572635,0.2817120837765553,0.1717138814984468
max,top_k,topk,5,1,140,0.43683641387143274,0.3384642487648926,0.32819504742561284,0.2542773448505817
max,context,peak,3,0,140,0.1634581526048491,0.336011549338436,0.18625755041218583,0.09368347104759682
max,context,peak,3,1,140,0.386999459808613,0.32846816253851446,0.3066865408473087,0.23683305725260057
max,context,peak,3,2,140,0.506163953681913,0.31718142617909834,0.3393643411770219,0.3252856262360225
