pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.20713983921319187,0.15087409062878082,0.14942175885498377,0.25095927170000365
mean,select_mode,topk,3,1,140,0.13653121736275528,0.14167987786782882,0.11489699427066516,0.18637408254156348
mean,select_mode,threshold,3,1,140,0.5659125519921866,0.1750171687165873,0.23087147253796866,0.5602548484417824
mean,top_k,topk,1,1,140,0.06323815209735345,0.13674067533847778,0.07394915927542269,0.0932652904135382
mean,top_k,topk,2,1,140,0.09698993072152204,0.13162020072489125,0.09306638113576272,0.13456222102616577
mean,top_k,topk,3,1,140,0.13653121736275528,0.14167987786782882,0.11489699427066516,0.18637408254156348
mean,top_k,topk,5,1,140,0.2172892030190252,0.13984543053643536,0.1456676700003038,0.2801421438517678
mean,context,peak,3,0,140,0.07659564383066168,0.15025241415471233,0.08751417811576787,0.09380102838279858
mean,context,peak,3,1,140,0.20713983921319187,0.15087409062878082,0.14942175885498377,0.25095927170000365
mean,context,peak,3,2,140,0.29503581594580175,0.1531451530119766,0.17202282743491126,0.35288276251040906
max,select_mode,peak,3,1,140,0.18942564171531245,0.13949160645731204,0.13960854145356794,0.25088497561311945
max,select_mode,topk,3,1,140,0.13576338160880766,0.12949468590283364,0.10954415015047127,0.18854253163708132
max,select_mode,threshold,3,1,140,0.6362014591820554,0.18197352375308853,0.247843723135957,0.6278738545087605
max,top_k,topk,1,1,140,0.06719628632563915,0.12725461889279416,0.07588386968469436,0.09325683349989192
max,top_k,topk,2,1,140,0.09351689264700352,0.12220936788494605,0.08892738408888967,0.13680029981965072
max,top_k,topk,3,1,140,0.13576338160880766,0.12949468590283364,0.10954415015047127,0.18854253163708132
max,top_k,topk,5,1,140,0.21343309041481554,0.13543616617359894,0.1427775856914766,0.27815030169692684
max,context,peak,3,0,140,0.06797826862045801,0.13866214606722962,0.08026563116672954,0.09375726735332464
max,context,peak,3,1,140,0.18942564171531245,0.13949160645731204,0.13960854145356794,0.25088497561311945
max,context,peak,3,2,140,0.28441494850590204,0.1414206776231854,0.16357098631752184,0.35686985975654173
