pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.40056671225017215,0.3574205755268034,0.3329266365489745,0.24086659175547293
mean,select_mode,topk,3,1,140,0.3453353981633674,0.38915257135490333,0.3169800380768922,0.1863858492343158
mean,select_mode,threshold,3,1,140,0.7180730567763494,0.22196949266843063,0.29851636998071407,0.5730931654913554
mean,top_k,topk,1,1,140,0.15519799028308298,0.36401498688809664,0.19606061380442447,0.093761242750433
mean,top_k,topk,2,1,140,0.23859520822870875,0.37309483690359724,0.25937789917971665,0.14487684122334477
mean,top_k,topk,3,1,140,0.3453353981633674,0.38915257135490333,0.3169800380768922,0.1863858492343158
mean,top_k,topk,5,1,140,0.4491741491637293,0.35727408155935975,0.3466920233202645,0.26295229280543614
mean,context,peak,3,0,140,0.1564530081165024,0.3623777764060208,0.19591757279513178,0.09379569235471992
mean,context,peak,3,1,140,0.40056671225017215,0.3574205755268034,0.3329266365489745,0.24086659175547293
mean,context,peak,3,2,140,0.5387454797745737,0.34423714451259735,0.3665268876915121,0.3301908831392532
max,select_mode,peak,3,1,140,0.4509328836948094,0.3687235829672307,0.35255233339979397,0.24292144323716763
max,select_mode,topk,3,1,140,0.3712434058561422,0.37864924045655945,0.3230657155714472,0.19090769041221606
max,select_mode,threshold,3,1,140,0.8143699483943798,0.2251757355663716,0.31299794299534683,0.6835500872589864
max,top_k,topk,1,1,140,0.17550709873235415,0.37792299501346666,0.2133100252354663,0.09376480125250351
max,top_k,topk,2,1,140,0.30456388365817494,0.39461429971454437,0.29566649377056864,0.14599285343735527
max,top_k,topk,3,1,140,0.3712434058561422,0.37864924045655945,0.3230657155714472,0.19090769041221606
max,top_k,topk,5,1,140,0.48697807008807975,0.37227409751287915,0.36607434037483894,0.26679669189971367
max,context,peak,3,0,140,0.17688692403156747,0.3806097078194696,0.21452773388300983,0.0938018436793362
max,context,peak,3,1,140,0.4509328836948094,0.3687235829672307,0.35255233339979397,0.24292144323716763
max,context,peak,3,2,140,0.5831768035277106,0.3487305595615879,0.38030212430765864,0.3336965018957902
