pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.395972459212902,0.29046883527239736,0.28905533390187715,0.25638830802479284
mean,select_mode,topk,3,1,140,0.3198124015166262,0.29275092192150953,0.2582985619230782,0.1990047434044059
mean,select_mode,threshold,3,1,140,0.5961895577417119,0.2077155661902222,0.2617497673122377,0.5183849381965046
mean,top_k,topk,1,1,140,0.1384151339921886,0.2745957093911436,0.16070108894070187,0.09286830561780918
mean,top_k,topk,2,1,140,0.2261685048897506,0.28557135508841974,0.21627777291071812,0.14594246015814757
mean,top_k,topk,3,1,140,0.3198124015166262,0.29275092192150953,0.2582985619230782,0.1990047434044059
mean,top_k,topk,5,1,140,0.4448669786226422,0.2896799409139517,0.29968640387048273,0.2978663184122997
mean,context,peak,3,0,140,0.16067054055231025,0.3056311845112069,0.18290618016631593,0.09371175191108903
mean,context,peak,3,1,140,0.395972459212902,0.29046883527239736,0.28905533390187715,0.25638830802479284
mean,context,peak,3,2,140,0.5437827462106641,0.2815366780843507,0.3193149592676631,0.37200253119768867
max,select_mode,peak,3,1,140,0.41272633783796925,0.30027195606909995,0.29981787845835955,0.25816558509392473
max,select_mode,topk,3,1,140,0.3492528807819185,0.3044843938060942,0.27595479092081454,0.20977644525145173
max,select_mode,threshold,3,1,140,0.6984019033137818,0.2043913162657788,0.2763099944046186,0.624210255180807
max,top_k,topk,1,1,140,0.16872607355650177,0.3267876108219301,0.196898248950613,0.09284520554117584
max,top_k,topk,2,1,140,0.27413412130267434,0.3144952886995383,0.25135613257875045,0.15372466374114602
max,top_k,topk,3,1,140,0.3492528807819185,0.3044843938060942,0.27595479092081454,0.20977644525145173
max,top_k,topk,5,1,140,0.4745065667856358,0.2982281383168008,0.31368711461761806,0.30796354201912357
max,context,peak,3,0,140,0.167286548902835,0.32292905153064283,0.19200451110106442,0.0937946136998896
max,context,peak,3,1,140,0.41272633783796925,0.30027195606909995,0.29981787845835955,0.25816558509392473
max,context,peak,3,2,140,0.5432732319093314,0.28584941508806805,0.32443919720926573,0.37271797785823285
