pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.39679475378568524,0.2931141943474799,0.2882200285318726,0.2557247969972403
mean,select_mode,topk,3,1,140,0.32030214682954394,0.29620326228303906,0.2614137959651829,0.2033059921540827
mean,select_mode,threshold,3,1,140,0.5990287308628857,0.21291014020601276,0.2657202408228332,0.5161814347461074
mean,top_k,topk,1,1,140,0.13625008986627044,0.26045564721766773,0.1543729664496428,0.09262615307704371
mean,top_k,topk,2,1,140,0.2323573212604614,0.2752310637399486,0.21306638421674023,0.14753189747425421
mean,top_k,topk,3,1,140,0.32030214682954394,0.29620326228303906,0.2614137959651829,0.2033059921540827
mean,top_k,topk,5,1,140,0.4475164232513972,0.29209596710135194,0.303599564277168,0.3010241152334194
mean,context,peak,3,0,140,0.1464062507371424,0.2996565121336607,0.17155435481725112,0.09375467241089691
mean,context,peak,3,1,140,0.39679475378568524,0.2931141943474799,0.2882200285318726,0.2557247969972403
mean,context,peak,3,2,140,0.5408780695301019,0.28466592521143924,0.320810104624843,0.3705067990054378
max,select_mode,peak,3,1,140,0.38514157227122436,0.2947590262135209,0.29178227254031147,0.2581498948142433
max,select_mode,topk,3,1,140,0.3241437339166304,0.2990760911053569,0.2690283352982097,0.2113089189249983
max,select_mode,threshold,3,1,140,0.6861579248896161,0.20265509635257553,0.2714767849287354,0.6190951081880028
max,top_k,topk,1,1,140,0.15188262189681762,0.3013575377476954,0.1805521868572302,0.09283857665467714
max,top_k,topk,2,1,140,0.23840321881234386,0.3025002648735034,0.23334763411978524,0.15154812692763464
max,top_k,topk,3,1,140,0.3241437339166304,0.2990760911053569,0.2690283352982097,0.2113089189249983
max,top_k,topk,5,1,140,0.49705748776510117,0.30510244089324745,0.3229452699817497,0.3057297477882187
max,context,peak,3,0,140,0.15700334478549025,0.315750950508732,0.1850775085453838,0.09379622806989303
max,context,peak,3,1,140,0.38514157227122436,0.2947590262135209,0.29178227254031147,0.2581498948142433
max,context,peak,3,2,140,0.5370994363344633,0.2834419169736089,0.3239586741996604,0.37478235529390974
