pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.45960183630313745,0.35625771946943985,0.3457552800216402,0.24612921890339595
mean,select_mode,topk,3,1,140,0.3422071149484638,0.36535714889354987,0.3040316077668042,0.1937298533582481
mean,select_mode,threshold,3,1,140,0.7176891500857285,0.22552144119462153,0.30076262338946214,0.5615838929554513
mean,top_k,topk,1,1,140,0.20330941345869152,0.4092362662041517,0.23746244562010058,0.09369121058839328
mean,top_k,topk,2,1,140,0.27028202822390485,0.3730655421777056,0.27128679503293884,0.14706996625073815
mean,top_k,topk,3,1,140,0.3422071149484638,0.36535714889354987,0.3040316077668042,0.1937298533582481
mean,top_k,topk,5,1,140,0.4737826151540569,0.3449894566514319,0.3442796754992132,0.2729815678766341
mean,context,peak,3,0,140,0.17861425906168882,0.36486706832725063,0.20933686420715364,0.09367110789060405
mean,context,peak,3,1,140,0.45960183630313745,0.35625771946943985,0.3457552800216402,0.24612921890339595
mean,context,peak,3,2,140,0.5800636473063503,0.33409462325016037,0.36745031051531196,0.34314064614540374
max,select_mode,peak,3,1,140,0.4525957442810413,0.36114537465583485,0.34645171782574885,0.24662664883180563
max,select_mode,topk,3,1,140,0.36582347851824476,0.3724330611431568,0.3152280584087563,0.1945931561712881
max,select_mode,threshold,3,1,140,0.7722442984760325,0.21807080517461871,0.3004753252366422,0.6265786417570529
max,top_k,topk,1,1,140,0.18168555409477785,0.3789161716537233,0.22205735708615273,0.09368402176028715
max,top_k,topk,2,1,140,0.2868985565558207,0.3758753414214966,0.2775959573900639,0.1504141517827272
max,top_k,topk,3,1,140,0.36582347851824476,0.3724330611431568,0.3152280584087563,0.1945931561712881
max,top_k,topk,5,1,140,0.48310089994821837,0.35360011385013934,0.350085167325541,0.27503831913788995
max,context,peak,3,0,140,0.1753576786433834,0.3701288343214023,0.20949717805970003,0.09369914074620198
max,context,peak,3,1,140,0.4525957442810413,0.36114537465583485,0.34645171782574885,0.24662664883180563
max,context,peak,3,2,140,0.5789109500886719,0.34219354767511295,0.3721567254082496,0.34354921950542927
