pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3944897185420261,0.2923650252145928,0.28853543046666313,0.2556170162517745
mean,select_mode,topk,3,1,140,0.3167753773252452,0.2906702639444316,0.25984999099381856,0.20153572475024545
mean,select_mode,threshold,3,1,140,0.6037432249263495,0.21438178660557122,0.2674409348019775,0.5203948260262128
mean,top_k,topk,1,1,140,0.11932653443878866,0.24319454504607257,0.14275450424617694,0.0928580079361278
mean,top_k,topk,2,1,140,0.23232704233265317,0.2788193796245349,0.2166877420222956,0.147964566497047
mean,top_k,topk,3,1,140,0.3167753773252452,0.2906702639444316,0.25984999099381856,0.20153572475024545
mean,top_k,topk,5,1,140,0.45829498757029297,0.29353822421838915,0.3086161582980232,0.29928698260428144
mean,context,peak,3,0,140,0.14647559662385937,0.300397444696636,0.1728907187459726,0.09368802102810538
mean,context,peak,3,1,140,0.3944897185420261,0.2923650252145928,0.28853543046666313,0.2556170162517745
mean,context,peak,3,2,140,0.5394789070094783,0.28228846170385996,0.31992192462750546,0.37291910583125626
max,select_mode,peak,3,1,140,0.4305261657176706,0.3156170174207335,0.3135113273567319,0.25797718841295003
max,select_mode,topk,3,1,140,0.3329434598098084,0.3072344093124331,0.27612330083162534,0.21218436379963948
max,select_mode,threshold,3,1,140,0.689162124974414,0.20382319701735235,0.27279153307702403,0.6248859859948757
max,top_k,topk,1,1,140,0.14476004904532072,0.29441829245781237,0.17268555239296793,0.09284173033008786
max,top_k,topk,2,1,140,0.2447237501088256,0.2939903143692294,0.23526352175845874,0.15514106620143814
max,top_k,topk,3,1,140,0.3329434598098084,0.3072344093124331,0.27612330083162534,0.21218436379963948
max,top_k,topk,5,1,140,0.5033674859472302,0.3068272407797594,0.32527416199989095,0.3056739004611114
max,context,peak,3,0,140,0.16976875639164,0.3320115049478168,0.19548536862117458,0.09379155271101638
max,context,peak,3,1,140,0.4305261657176706,0.3156170174207335,0.3135113273567319,0.25797718841295003
max,context,peak,3,2,140,0.5693500798253762,0.29810023258283075,0.33851241838507684,0.37385951954803587
