pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3200386518701214,0.23587730779833485,0.23633242198113402,0.2560206081332553
mean,select_mode,topk,3,1,140,0.2421644141172178,0.22719141026675682,0.20128973949729467,0.1915232220914731
mean,select_mode,threshold,3,1,140,0.5994430871353204,0.19634285737866075,0.258410613586044,0.5498495093645758
mean,top_k,topk,1,1,140,0.1320911768571938,0.24056663996782432,0.14995903078128286,0.09374822249980626
mean,top_k,topk,2,1,140,0.1957777608228124,0.23349624715936212,0.18462808714424728,0.14266997423830519
mean,top_k,topk,3,1,140,0.2421644141172178,0.22719141026675682,0.20128973949729467,0.1915232220914731
mean,top_k,topk,5,1,140,0.3510397569174051,0.23081406870280796,0.24169432021258652,0.28796997830078036
mean,context,peak,3,0,140,0.1257962494086407,0.24760992685486555,0.14603568480839943,0.09376035211535878
mean,context,peak,3,1,140,0.3200386518701214,0.23587730779833485,0.23633242198113402,0.2560206081332553
mean,context,peak,3,2,140,0.43568485118735994,0.22777341268083054,0.2612540787236292,0.37161247802817127
max,select_mode,peak,3,1,140,0.33840293321874315,0.2474549736210188,0.24911201326183133,0.25376184662804
max,select_mode,topk,3,1,140,0.25129780994464446,0.2485346930516559,0.21717693832037568,0.19020108747716502
max,select_mode,threshold,3,1,140,0.7273595732456524,0.2018862964504032,0.2777993692500547,0.6579932291942585
max,top_k,topk,1,1,140,0.12642260028274288,0.23898129415420094,0.14785472943714809,0.09374152399956065
max,top_k,topk,2,1,140,0.186200772803914,0.23448008154473524,0.1803004856608387,0.14176475307927608
max,top_k,topk,3,1,140,0.25129780994464446,0.2485346930516559,0.21717693832037568,0.19020108747716502
max,top_k,topk,5,1,140,0.3678120877276415,0.24080951815801427,0.2520836241677529,0.2893169115807571
max,context,peak,3,0,140,0.12300088075819196,0.25663490350434354,0.1497153548564249,0.09366610747029205
max,context,peak,3,1,140,0.33840293321874315,0.2474549736210188,0.24911201326183133,0.25376184662804
max,context,peak,3,2,140,0.47287989495353405,0.23702419801440042,0.27456667378189203,0.36426740928529405
