pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.2590175591959543,0.3722333909877933,0.26170516384467785,0.12794980879251647
mean,select_mode,topk,3,1,140,0.19691951450589862,0.36520484556767246,0.21981100288944846,0.10262920197722847
mean,select_mode,threshold,3,1,140,0.8578535566718352,0.2323108189848541,0.3245041250539317,0.7529386935950751
mean,top_k,topk,1,1,140,0.09022104078832621,0.36533886939636934,0.13098012613647514,0.04687220030769249
mean,top_k,topk,2,1,140,0.1549760465309166,0.37456400729873324,0.19118442978255332,0.07474200537928244
mean,top_k,topk,3,1,140,0.19691951450589862,0.36520484556767246,0.21981100288944846,0.10262920197722847
mean,top_k,topk,5,1,140,0.30187126734568787,0.3688877963991086,0.28019925712632615,0.15234595267668455
mean,context,peak,3,0,140,0.09638616215170492,0.3803762703861325,0.13929131559233926,0.04686779148225636
mean,context,peak,3,1,140,0.2590175591959543,0.3722333909877933,0.26170516384467785,0.12794980879251647
mean,context,peak,3,2,140,0.35883435764598587,0.36062759262917565,0.30603266274723495,0.18654027874468235
max,select_mode,peak,3,1,140,0.2720308739950239,0.36887330112800315,0.26514941545617854,0.12783403041960703
max,select_mode,topk,3,1,140,0.23583662187177593,0.3943819963192349,0.2532798805552033,0.10587451315212994
max,select_mode,threshold,3,1,140,0.894836322893875,0.233096822585222,0.33036029612182155,0.8032950061605298
max,top_k,topk,1,1,140,0.10553288125317765,0.37966995352928473,0.14878834109069244,0.04682131630077062
max,top_k,topk,2,1,140,0.18645342391225686,0.39718261694231266,0.22091799507106785,0.0786524031030002
max,top_k,topk,3,1,140,0.23583662187177593,0.3943819963192349,0.2532798805552033,0.10587451315212994
max,top_k,topk,5,1,140,0.3265166119252333,0.3684536788373953,0.2896220325004155,0.1560712722323969
max,context,peak,3,0,140,0.10943158269959515,0.38174921492778136,0.14775964695827457,0.046765976020290964
max,context,peak,3,1,140,0.2720308739950239,0.36887330112800315,0.26514941545617854,0.12783403041960703
max,context,peak,3,2,140,0.3618550373852254,0.35509746456201713,0.3062430876655949,0.18862772703366099
