pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3422559345546349,0.23570929462711082,0.2369605083762476,0.24857948601720564
mean,select_mode,topk,3,1,140,0.23334757963833322,0.22066315695968702,0.18921831091967153,0.1763038171725695
mean,select_mode,threshold,3,1,140,0.8951509558999234,0.20151329598210327,0.29786108190978244,0.8571067513847077
mean,top_k,topk,1,1,140,0.09824426361380628,0.18921254282240849,0.11316082184828997,0.09163576897765208
mean,top_k,topk,2,1,140,0.16711977088670754,0.2077068600441892,0.15578526724786748,0.13258478821313555
mean,top_k,topk,3,1,140,0.23334757963833322,0.22066315695968702,0.18921831091967153,0.1763038171725695
mean,top_k,topk,5,1,140,0.3971248439641275,0.2400025127649752,0.25551793114241833,0.2680000068556305
mean,context,peak,3,0,140,0.12368396029791097,0.2318717187686993,0.13842958413880505,0.09382916938018018
mean,context,peak,3,1,140,0.3422559345546349,0.23570929462711082,0.2369605083762476,0.24857948601720564
mean,context,peak,3,2,140,0.46877660199548044,0.2339524938516046,0.26536982061265846,0.34051329226817717
max,select_mode,peak,3,1,140,0.32763647399934714,0.22187331550403258,0.22460886557674753,0.24879236340475452
max,select_mode,topk,3,1,140,0.22030920465853912,0.20930300163663623,0.18197314002659323,0.17913473518309148
max,select_mode,threshold,3,1,140,0.9458863995961092,0.21276821474067473,0.3137057228777126,0.8988745782605007
max,top_k,topk,1,1,140,0.10564553763064066,0.20153008011247425,0.12351526316211817,0.09149453252381372
max,top_k,topk,2,1,140,0.17236975832286258,0.20245977667173592,0.15836380912079473,0.13500871517455668
max,top_k,topk,3,1,140,0.22030920465853912,0.20930300163663623,0.18197314002659323,0.17913473518309148
max,top_k,topk,5,1,140,0.36642436847031223,0.22290877350991883,0.23558830208221895,0.26930590090738804
max,context,peak,3,0,140,0.1185233951147651,0.21917524153905457,0.1330959124076453,0.09376572306830899
max,context,peak,3,1,140,0.32763647399934714,0.22187331550403258,0.22460886557674753,0.24879236340475452
max,context,peak,3,2,140,0.4425180418613399,0.2206892864752241,0.2506339412110971,0.3369510194004507
