pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.4260918145219795,0.36553105026559163,0.34398259719379026,0.23867028650036545
mean,select_mode,topk,3,1,140,0.3618160602047288,0.4021717118568008,0.33392488166265855,0.1863517914810635
mean,select_mode,threshold,3,1,140,0.7990965583715308,0.2327174033865639,0.3133525327044451,0.6842690821845613
mean,top_k,topk,1,1,140,0.1923494759519143,0.4134135563154606,0.23409779388034876,0.09370722291526284
mean,top_k,topk,2,1,140,0.29992628098822954,0.41164690134302273,0.30378963917192564,0.14374012363663327
mean,top_k,topk,3,1,140,0.3618160602047288,0.4021717118568008,0.33392488166265855,0.1863517914810635
mean,top_k,topk,5,1,140,0.46808506483834095,0.3624948511396303,0.3593778780546182,0.26815159476199457
mean,context,peak,3,0,140,0.1838157647038651,0.3861636987782416,0.21756632682554466,0.09363722707826404
mean,context,peak,3,1,140,0.4260918145219795,0.36553105026559163,0.34398259719379026,0.23867028650036545
mean,context,peak,3,2,140,0.555044860606497,0.34513078762599125,0.370708320119084,0.3294770730124366
max,select_mode,peak,3,1,140,0.43004972940285546,0.3726780995633118,0.3517405657480156,0.24286215766282515
max,select_mode,topk,3,1,140,0.34606603898023797,0.3859346981126093,0.3185234196774033,0.18637650768265762
max,select_mode,threshold,3,1,140,0.8581536392542422,0.22498561735395284,0.3158899688502575,0.7559456534865399
max,top_k,topk,1,1,140,0.19491337833332834,0.4173923396170256,0.23977899665473404,0.0937044161503781
max,top_k,topk,2,1,140,0.297877708387757,0.4095458541392365,0.30322732403481195,0.14484920034984963
max,top_k,topk,3,1,140,0.34606603898023797,0.3859346981126093,0.3185234196774033,0.18637650768265762
max,top_k,topk,5,1,140,0.4753085815631353,0.3758841806888465,0.367422250029714,0.2690019244684111
max,context,peak,3,0,140,0.17950685937933467,0.38881787033563125,0.216346167916113,0.09371704162033533
max,context,peak,3,1,140,0.43004972940285546,0.3726780995633118,0.3517405657480156,0.24286215766282515
max,context,peak,3,2,140,0.5796055550128959,0.3481478601008558,0.3784013750381636,0.337978805952676
