pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.23803765479514202,0.1696768750375944,0.17155107765201513,0.2510017096040422
mean,select_mode,topk,3,1,140,0.14690168436790177,0.1293425523877303,0.1167472216233151,0.16899576005707143
mean,select_mode,threshold,3,1,140,0.524437915262513,0.16924605278309648,0.22580561656197276,0.5141843569918785
mean,top_k,topk,1,1,140,0.08208821457346263,0.13570744839377877,0.09098601019024442,0.09342186879529962
mean,top_k,topk,2,1,140,0.1035114411165833,0.12875014091968953,0.10070383785227605,0.13038102176460023
mean,top_k,topk,3,1,140,0.14690168436790177,0.1293425523877303,0.1167472216233151,0.16899576005707143
mean,top_k,topk,5,1,140,0.2655697892941871,0.16715243129423688,0.17787736262629245,0.28081832753633457
mean,context,peak,3,0,140,0.08417854632250697,0.16309094124215737,0.09711237402498392,0.09387021716010978
mean,context,peak,3,1,140,0.23803765479514202,0.1696768750375944,0.17155107765201513,0.2510017096040422
mean,context,peak,3,2,140,0.35948836129491124,0.18022095883276812,0.20751066865167914,0.3523301055457867
max,select_mode,peak,3,1,140,0.27991051051320387,0.18440189134029744,0.19010557761698038,0.25081768582831165
max,select_mode,topk,3,1,140,0.15284883989052225,0.13609072040102946,0.12277361682188993,0.17102274453760533
max,select_mode,threshold,3,1,140,0.6057873537659717,0.18241358379331707,0.24709387989687304,0.572907708880152
max,top_k,topk,1,1,140,0.06584930406627902,0.1124748765923217,0.07402951990720538,0.09341687123767166
max,top_k,topk,2,1,140,0.11077719388058885,0.12931466519896637,0.10477537179988282,0.13371604918110072
max,top_k,topk,3,1,140,0.15284883989052225,0.13609072040102946,0.12277361682188993,0.17102274453760533
max,top_k,topk,5,1,140,0.30090016351427423,0.17996497755939755,0.19398276278843213,0.28221736390615826
max,context,peak,3,0,140,0.09959208836182576,0.18139512120578055,0.1121925464494311,0.09373544243015702
max,context,peak,3,1,140,0.27991051051320387,0.18440189134029744,0.19010557761698038,0.25081768582831165
max,context,peak,3,2,140,0.40700181126800644,0.19018765072905747,0.22241067386772798,0.356583112419652
