k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.16644056225766737,0.09371857800503194,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.25696420244971857,0.14618664994638375,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.31877178015366986,0.1952702678590342,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.38067561366589164,0.2392634307284179,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4170774104901467,0.27586558585220766,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.47186508180624376,0.3173959095275327,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5793878153463269,0.3905786075623193,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6415771051849871,0.46352828950329034,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7024089209596978,0.5291735385702601,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8108946609903874,0.659000765181078,0.8855239648500733,0.8775517831364841,1.0,1.0
