k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.09824426361380628,0.09163576897765208,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.16711977088670754,0.13258478821313555,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.23334757963833322,0.1763038171725695,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3322411434279286,0.22095385151183172,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.3971248439641275,0.2680000068556305,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.43919104026259287,0.3061772700465242,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5271158629028548,0.3767365987924979,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6090353963073294,0.46025572448968566,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.6712145277708191,0.5183747655496092,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.809880365097403,0.6500312232177146,0.8855239648500733,0.8775517831364841,1.0,1.0
