k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.14764709162018022,0.09208919935843513,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.2147358057383966,0.1401260751485879,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.26866599691520227,0.18074190023424105,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.31484484260859974,0.21935482280397403,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.3787559161924762,0.2563841314386049,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.42199504645629254,0.2923560653068798,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5078938958316302,0.3608726452334064,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.5954278654651708,0.42579596255593893,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.668780004799562,0.49120428005596667,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.786721765001044,0.6266521089821712,0.8855239648500733,0.8775517831364841,1.0,1.0
