k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.06323815209735345,0.0932652904135382,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.09698993072152204,0.13456222102616577,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.13653121736275528,0.18637408254156348,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.17443221328067346,0.23791696924873387,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.2172892030190252,0.2801421438517678,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.250897589429623,0.31745460659325164,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.37009533771347797,0.4002453831643776,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.4976887220752554,0.4873500356435063,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.5935246614112888,0.5620662188219587,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7534169534972549,0.6935514100485288,0.8855239648500733,0.8775517831364841,1.0,1.0
