k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.15519799028308298,0.093761242750433,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.23859520822870875,0.14487684122334477,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.3453353981633674,0.1863858492343158,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.39004056424550865,0.22635591163844765,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4491741491637293,0.26295229280543614,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5128353355946473,0.2977855870366934,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.6059901981743642,0.3698680720703321,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6878273605581346,0.43320872607233313,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7274006790568216,0.5006527159654766,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7927430113113945,0.6261471306033844,0.8855239648500733,0.8775517831364841,1.0,1.0
