k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.1923494759519143,0.09370722291526284,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.29992628098822954,0.14374012363663327,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.3618160602047288,0.1863517914810635,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.4206037238545588,0.2281485651623125,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.46808506483834095,0.26815159476199457,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5146041239250619,0.3052063377279657,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.6109556608772693,0.377520264014353,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6808064866412378,0.44447341906299975,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7281657603567252,0.5145743096427503,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8173622962573935,0.6366235557168864,0.8855239648500733,0.8775517831364841,1.0,1.0
