k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.15140322240353585,0.09285622129682754,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.23335295054723743,0.14749788152443724,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.2964467647142414,0.19950219802090943,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3739054826688772,0.2525839583225559,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4382460787345819,0.30417398778258725,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.500272025120157,0.3468374193973189,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.576089845527981,0.42290031564362507,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6611809741120195,0.4928061781333687,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7199063801926963,0.5597270344393279,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8306168810093845,0.6777332783130736,0.8855239648500733,0.8775517831364841,1.0,1.0
