k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.20330941345869152,0.09369121058839328,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.27028202822390485,0.14706996625073815,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.3422071149484638,0.1937298533582481,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.4151756692772674,0.23394901713417968,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4737826151540569,0.2729815678766341,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5190209482084506,0.306888086802333,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.598682541582767,0.3796457817178879,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6597472518826498,0.44636500484797886,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7196861933507532,0.5140361402334876,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8109895363756735,0.6343432318829377,0.8855239648500733,0.8775517831364841,1.0,1.0
