k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.11932653443878866,0.0928580079361278,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.23232704233265317,0.147964566497047,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.3167753773252452,0.20153572475024545,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3748895133611633,0.2501661418379149,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.45829498757029297,0.29928698260428144,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5022758371021718,0.3454885152628502,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5864802839447214,0.4246625520396644,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6491106062218438,0.492558157046654,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7505066891579154,0.562633256530433,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8462269665347255,0.6840233789066235,0.8855239648500733,0.8775517831364841,1.0,1.0
