k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.1320911768571938,0.09374822249980626,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.1957777608228124,0.14266997423830519,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.2421644141172178,0.1915232220914731,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.279447163055472,0.2370514397676303,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.3510397569174051,0.28796997830078036,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.40590303913038195,0.333236564461611,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5014440790383935,0.41761340119532253,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6096628583392127,0.5000183969268698,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7014768558494028,0.5705250048081759,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8116555374157554,0.7044731759695588,0.8855239648500733,0.8775517831364841,1.0,1.0
