k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.31928594751974426,0.18702902736571753,0.18745431126827447,0.1795207623721718,0.061896039468955624,0.12536186949530642
2,0.48895315997149924,0.3115967787117225,0.3429542835147018,0.33698723365725575,0.10661295339641141,0.25007388960974525
3,0.5985636395771111,0.4035354801122316,0.4824946819164817,0.47332228730167936,0.3688345030716785,0.4375340124023511
4,0.6738283736313901,0.48518336056124217,0.6069871638357116,0.5908004651718333,0.5573625801481134,0.6250528902880903
5,0.7432033999995392,0.5592803895036135,0.6960163923962421,0.683997036884243,0.7525545145692036,0.8125454282346553
6,0.7936335078895744,0.6311582385330198,0.7862632291283785,0.7646792619188716,1.0,1.0
8,0.8897323579300345,0.7400779147477868,0.9015019948282427,0.8814686526362528,1.0,1.0
10,0.9454347802824352,0.841045183544369,0.9630930428651673,0.9538600712212778,1.0,1.0
12,0.9778574044843282,0.932590685153908,0.9918283869483888,0.987815274712987,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0
