k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.08208821457346263,0.09342186879529962,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.1035114411165833,0.13038102176460023,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.14690168436790177,0.16899576005707143,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.20567082900913838,0.21924521730112173,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.2655697892941871,0.28081832753633457,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.33663142129478685,0.32967375217656214,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.4501397345584317,0.4162405653004245,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.5604314135240801,0.5031449261805031,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.6441756630780502,0.5759954070787202,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8010422596603699,0.7119938991562638,0.8855239648500733,0.8775517831364841,1.0,1.0
